Marker,ConditionCode,TimeMS,Size,ChanNum,RT,PrevCondition1,PrevCondition2,SubjID
Mk3,221,13931,1,0,541,201,,S101
Mk6,220,15503,1,0,534,207,  4,S101
Mk9,220,17077,1,0,541,201,  2,S101
Mk12,221,19411,1,0,546,208, 17,S101
Mk15,221,21033,1,0,559,203,  2,S101
Mk18,221,22545,1,0,550,205, 13,S101
Mk21,221,24944,1,0,553,204,  4,S101
Mk24,220,26533,1,0,542,202,  7,S101
Mk27,221,28115,1,0,540,208, 24,S101
Mk30,221,30403,1,0,541,208, 29,S101
Mk33,220,31877,1,0,540,202,  8,S101
Mk36,221,33441,1,0,541,204, 41,S101
Mk39,220,35737,1,0,541,202, 15,S101
Mk42,221,37369,1,0,539,204,  9,S101
Mk45,221,38913,1,0,554,208, 20,S101
Mk48,221,41188,1,0,541,208, 39,S101
Mk51,221,42724,1,0,540,203,  3,S101
Mk54,220,44250,1,0,540,202, 14,S101
Mk57,220,46592,1,0,554,207, 25,S101
Mk60,221,48155,1,0,558,203,  5,S101
Mk63,220,49694,1,0,538,203, 16,S101
Mk66,221,51963,1,0,541,206,  3,S101
Mk69,220,53554,1,0,552,201, 12,S101
Mk72,221,55170,1,0,539,204, 19,S101
Mk75,220,57537,1,0,564,201,  4,S101
Mk78,220,59011,1,0,542,205, 15,S101
Mk81,220,60610,1,0,549,207, 25,S101
Mk84,221,62885,1,0,540,206, 50,S101
Mk87,221,64483,1,0,542,204,  5,S101
Mk90,221,66061,1,0,549,204,  9,S101
Mk93,221,68339,1,0,540,205, 25,S101
Mk96,221,69916,1,0,554,208, 17,S101
Mk99,220,71471,1,0,542,201, 37,S101
Mk102,221,73744,1,0,540,205, 13,S101
Mk105,221,75342,1,0,542,205,  6,S101
Mk108,220,76849,1,0,541,208, 11,S101
Mk111,221,79230,1,0,551,206, 45,S101
Mk114,220,80710,1,0,543,202, 20,S101
Mk117,220,82334,1,0,541,202, 20,S101
Mk120,221,84654,1,0,541,206, 21,S101
Mk123,221,86208,1,0,540,206,  8,S101
Mk126,221,87725,1,0,541,202, 25,S101
Mk129,220,90013,1,0,558,201, 11,S101
Mk132,220,91604,1,0,540,207,  7,S101
Mk135,220,93132,1,0,543,201, 24,S101
Mk138,220,95479,1,0,540,202,  6,S101
Mk141,221,97076,1,0,545,203, 15,S101
Mk144,221,98624,1,0,539,206, 21,S101
Mk147,221,100971,1,0,543,208,  2,S101
